Name	Accessions	Description	References
Tn2503	CP002179|CP002180|CP002181|CP002182	Tn2503 is a 6.8-kb transposon, found in plasmids from Yersinia pestis strain Java 9. It is related to Tn2502 without the deletions in transposase tnpA gene. It contains arsHRBC four-gene system that mediates arsenic resistance.	Eppinger, M., Radnedge, L., Andersen, G., Vietri, N., Severson, G., Mou, S., … Worsham, P. L. (2012). Novel Plasmids and Resistance Phenotypes in Yersinia pestis: Unique Plasmid Inventory of Strain Java 9 Mediates High Levels of Arsenic Resistance. PLoS ONE, 7(3), e32911. DOI: 10.1371/journal.pone.0032911
Tn2505	NA	Tn2505 is a minor 8.2-kb transposon on plasmid pMBLG2. It was constructed based on Tn951/Tn2501 by replacing the 10.5 kb BamHI fragment with a kanamycin resistance (neo) gene of Tn5.	Michiels, T. and G. Cornelis (1986). Tn951 derivatives designed for high-frequency plasmid-specific transposition and deletion mutagenesis. Gene 43(3): 175-181. DOI: 10.1016/0378-1119(86)90205-2
Tn2506	NA	Tn2506 is a 7.3-kb minor transposon on plasmid pMBLG3, which was constructed by replacing neo gene with the chloramphenicol acetyltransferase (cat) gene on pMBLG2.	Michiels, T. and G. Cornelis (1986). Tn951 derivatives designed for high-frequency plasmid-specific transposition and deletion mutagenesis. Gene 43(3): 175-181. DOI: 10.1016/0378-1119(86)90205-2
Tn2507	NA	Tn2507 is a 9.1-kb transposon, constructed by cloning the chloramphenicol acetyltransferase (cat) gene into BamHI site on Tn2505 (containing e kanamycin resistance (neo) gene).	Mulder, B., Michiels, T., Simonet, M., Sory, M. P., & Cornelis, G. (1989). Identification of additional virulence determinants on the pYV plasmid of Yersinia enterocolitica W227. Infection and Immunity, 57(8), 2534–2541. PMID: 2545628
Tn2515	NA	Tn2515 is a major transposon on plasmid pMBLG2, which contains Tn2505 (kanamycin resistance gene) with the addition of transposase tnpA gene (from Tn3) and tetracycline resistance gene.	Michiels, T. and G. Cornelis (1986). Tn951 derivatives designed for high-frequency plasmid-specific transposition and deletion mutagenesis. Gene 43(3): 175-181. DOI: 10.1016/0378-1119(86)90205-2
Tn2516	NA	Tn2516 is a major transposon on plasmid pMBLG3, which contains Tn2506 (chloramphenicol resistance gene) with the addition of transposase tnpA gene (from Tn3) and tetracycline resistance gene.	Michiels, T. and G. Cornelis (1986). Tn951 derivatives designed for high-frequency plasmid-specific transposition and deletion mutagenesis. Gene 43(3): 175-181. DOI: 10.1016/0378-1119(86)90205-2
Tn2521	AF313471	Tn2521 is a 7-kb class 1 integron In33, isolated from several different clinical P. aeruginosa strains. It contains a backbone structure identical to that of In4 from Tn1696. Two gene cassettes are located on this transposon, blaP1 and aadA1.	Partridge, S. R., Brown, H. J., & Hall, R. M. (2002). Characterization and Movement of the Class 1 Integron Known as Tn2521 and Tn1405. Antimicrobial Agents and Chemotherapy, 46(5), 1288–1294. DOI: 10.1128/AAC.46.5.1288-1294.2002
Tn2523	NA	Tn2523 is a derivative of transposon Tn5, constructed by cloning DNA primase gene of the promiscuous IncP-1 conjugative plasmid RP1 into Tn5 (containing kanamycin resistance gene).	Krishnapillai, V., et al. (1986). Molecular cloning into Tn5 and integration in the Pseudomonas aeruginosa chromosome: a tool for heterologous gene expression. J Gen Microbiol 132(3): 707-715. DOI: 10.1099/00221287-132-3-707
Tn2601	NA	Tn2601 is a 4.7-kb transposon, similar to Tn3 and Tn2602, which is located on plasmids Rms212. It contains blaTEM-1 gene, conferring ampicillin resistance.	Yamamoto, T., et al. (1980). Gene expression of ampicillin resistance transposons, Tn2601 and Tn2602. Microbiol Immunol 24(6): 479-494. DOI: 10.1111/j.1348-0421.1980.tb02852.x
Tn2602	NA	Tn2602 is a 4.7-kb transposon, similar to Tn3 and Tn2601, which is located on plasmids Rms212. It contains blaTEM-1 gene, conferring ampicillin resistance.	Yamamoto, T., et al. (1980). Gene expression of ampicillin resistance transposons, Tn2601 and Tn2602. Microbiol Immunol 24(6): 479-494. DOI: 10.1111/j.1348-0421.1980.tb02852.x
Tn2603	NA	Tn2603 is approximately 20-kb transposon, carried by R plasmid RGN238. It contains genes, conferring ampicillin, streptomycin, sulfonamide, and mercury.	Yamamoto, T., et al. (1981). Physical and functional mapping of Tn2603, a transposon encoding ampicillin, streptomycin, sulfonamide, and mercury resistance. Mol Gen Genet 181(4): 464-469. PMID: 6267420
Tn2607	NA	Tn2607 is a 24-kb transposon, which is generated by the transposition of Tn2601 into mercury operon on Tn21. It is found on a conjugative plasmid RGN14 and contains genes conferring streptomycin, sulfonamide, and ampicillin resistance.	Tanaka, M., Yamamoto, T., & Sawai, T. (1983). Evolution of complex resistance transposons from an ancestral mercury transposon. Journal of Bacteriology, 153(3), 1432–1438. PMID: 6298184
Tn2608	NA	Tn2608 is a 13.5-kb transposon, found on a conjugative plasmid RGN823. It is related to a mercury transposon Tn2613 with an insertion of DNA containing streptomycin and sulfonamide resistance genes.	Tanaka, M., Yamamoto, T., & Sawai, T. (1983). Evolution of complex resistance transposons from an ancestral mercury transposon. Journal of Bacteriology, 153(3), 1432–1438. PMID: 6298184
Tn2610	AB207867	Tn2610 is a 23.9-kb transposon found in a conjugative plasmid pCS200 from Escherichia coli. It is composed of two transposition modules: a Tn1721-like module and a Tn21-derived module. Multiple integron-associated resistance genes (pse-1, aadA2, and sul1 genes) is located in a Tn21 backbone.	Takaya, A., Watanabe, M., & Yamamoto, T. (2006). Organization of Tn2610Containing Two Transposition Modules. Antimicrobial Agents and Chemotherapy, 50(4), 1143–1147. DOI: 10.1128/AAC.50.4.1143-1147.2006 Yamamoto, T., et al. (1983). Tn2610, a transposon involved in the spread of the carbenicillin-hydrolyzing beta-lactamase gene. Mol Gen Genet 189(2): 282-288. PMID: 6304468
Tn2613	NA	Tn2613 is a 7.2-kb transposon, found on plasmid pCS229 and conferring mercury resistance.	Tanaka, M., Yamamoto, T., & Sawai, T. (1983). Evolution of complex resistance transposons from an ancestral mercury transposon. Journal of Bacteriology, 153(3), 1432–1438. PMID: 6298184
Tn2653	NA	Tn2653 is a 5.9-kb composite transposon, containing inverted repeats of IS1 elements. It carries two inverted repeats chloramphenicol acetyltransferase (cat) genes and one copy of tetracycline resistance gene.	Iida, S., Kulka, I., Meyer, J., & Arber, W. (1987). Amplification of drug resistance genes flanked by inversely repeated IS1 elements: involvement of IS1-promoted DNA rearrangements before amplification. Journal of Bacteriology, 169(4), 1447–1453. DOI: 10.1128/jb.169.4.1447-1453.1987
Tn2657	NA	Tn2657 is designated to the segment of (partial IS1)-pBR322-(partial IS1). It is generated by the insertion of pBR322 at the PstI site, which splits an IS1 element into two parts.	Iida, S., et al. (1981). Cointegrates between bacteriophage P1 DNA and plasmid pBR322 derivatives suggest molecular mechanisms for P1-mediated transduction of small plasmids. Mol Gen Genet 184(1): 1-10. PMID: 6278242
Tn2660	NA	Tn2660 is found on plasmid R6K from Escherichia coli. It contains blaTEM-1 gene, conferring ampicillin resistance.	Chiang, S. J., & Clowes, R. C. (1980). Intramolecular transposition and inversion in plasmid R6K. Journal of Bacteriology, 142(2), 668–682. PMID: 6247328
Tn2670	AP000342	Tn2670 is resistance determinant (r-det) located on plasmid R100-1. It composes of a Tn9-like transposon (containing the catA1 chloramphenicol resistance gene) and a transposon Tn21 (containing mer21, sul1 and aadA1 resistance genes).	Partridge, S. R., & Hall, R. M. (2004). Complex Multiple Antibiotic and Mercury Resistance Region Derived from the r-det of NR1 (R100). Antimicrobial Agents and Chemotherapy, 48(11), 4250–4255. DOI: 10.1128/AAC.48.11.4250-4255.2004 Womble, D. D., & Rownd, R. H. (1988). Genetic and physical map of plasmid NR1: comparison with other IncFII antibiotic resistance plasmids. Microbiological Reviews, 52(4), 433–451. PMID: 3070319
Tn2671	AP000342	Tn2671 is a 23-kb-transposon, located on plasmid NR1. It is a derivative of Tn2670 with an insertion of IS30 element (1.25 kb).	Iida, S., et al. (1981). Is the IS1-flanked r-determinant of the R plasmid NR1 a transposon? J Gen Microbiol 126(2): 413-425. DOI: 10.1099/00221287-126-2-413
Tn2672	NA	Tn2672 is a 28-kb transposon, which is a result of the transposition of Tn2671 into the ampicillin resistance gene bla of Tn902 (Tn902 bla::Tn 2671).  .	Hänni, C., Meyer, J., Iida, S., & Arber, W. (1982). Occurrence and properties of composite transposon Tn2672: evolution of multiple drug resistance transposons. Journal of Bacteriology, 150(3), 1266–1273. PMID: 6281241
Tn2680	NA	Tn2680 is a 4.95-kb transposon, which is homologous to Tn6. It is located on plasmid Rts1 and contains a gene, encoding type I aminoglycoside-3'-phosphotransferase, which is flanked by two IS26 and one IS903.B.	Mollet, B., Clerget, M., Meyer, J., & Iida, S. (1985). Organization of the Tn6-related kanamycin resistance transposon Tn2680 carrying two copies of IS26 and an IS903 variant, IS903. B. Journal of Bacteriology, 163(1), 55–60. PMID: 2989253
Tn2681	NA	Tn2681 is generated from Tn2680 by IS903.B-mediated cointegration and subsequent reciprocal recombination between the directly repeated IS26 elements, which results in two copies of IS930.B flanking a single copy of IS26 and kanamycin resistance gene.	Mollet, B., Clerget, M., Meyer, J., & Iida, S. (1985). Organization of the Tn6-related kanamycin resistance transposon Tn2680 carrying two copies of IS26 and an IS903 variant, IS903. B. Journal of Bacteriology, 163(1), 55–60. PMID: 2989253
Tn2700	NA	Tn2700 is a composite transposon, containing direct repeats of IS30 elements flanking a chloramphenicol resistance gene.	Casadesus, J., et al. (1999). "Lack of hotspot targets: a constraint for IS30 transposition in Salmonella." Gene 238(1): 231-239. DOI: 10.1016/S0378-1119(99)00256-5
Tn2901	NA	Tn2901 is a 11.0 kb transposon flanked by directly repeated IS1 sequences. It carries an argF gene that encodes an ornithine carbamoyltransferase subunit F.	York, M. K., & Stodolsky, M. (1981). Characterization of P1argF derivatives from Escherichia coli K12 transduction. Molecular and General Genetics MGG, 181(2), 230-240. DOI: https://link.springer.com/article/10.1007/BF00268431
Tn2921	FJ829469.1	Tn2921 is a 12.4 kb transposon encoding resistance to fosfomycin. It was originally detected in plasmid pOU900 of Serratia marcescens.	Garcia-Lobo, J. M., & Ortiz, J. M. (1982). Tn2921, a transposon encoding fosfomycin resistance. Journal of Bacteriology, 151(1), 477-479. LINK:http://jb.asm.org/content/151/1/477.full.pdf Seoane, A., Sangari, F. J., & Lobo, J. M. G. (2010). Complete nucleotide sequence of the fosfomycin resistance transposon Tn2921. International Journal of Antimicrobial Agents, 35(4), 413-414. DOI: https://doi.org/10.1016/j.ijantimicag.2009.12.006
Tn2922	NA	Tn2922 is a 27 kb transposon carrying determinants of ampicillin (blaTEM) and gentamicin resistance (aacC5). It is flanked by directly oriented copies of an IS closely related to IS26.	Martin, C., Gomez-Lus, R., Ortiz, J. M., & Garcia-Lobo, J. M. (1987). Structure and mobilization of an ampicillin and gentamicin resistance determinant. Antimicrobial Agents and Chemotherapy, 31(8), 1266-1270. PMCID: PMC174916
Tn3000	NA	Tn3000 is a 11.8 kb long transposon which is bracketed by two copies of IS3000. It carries a blaNDM-1 gene. The Tn3000 has been attributed to world-wide dissemination of blaNDM-1 among Enterobacteriaceae.	Campos, J. C., da Silva, M. J. F., dos Santos, P. R. N., Barros, E. M., de Oliveira Pereira, M., Seco, B. M. S., ... & Cerdeira, L. T. (2015). Characterization of Tn3000, a transposon responsible for blaNDM-1 dissemination among Enterobacteriaceae in Brazil, Nepal, Morocco, and India. Antimicrobial Agents and Chemotherapy, 59(12), 7387-7395. DOI: 10.1128/AAC.01458-15
Tn3351	NA	Tn3351 is a chloramphenicol resistant transposon which was originally identified in the R plasmid from Salmonella naestved AHI-21 and Escherichia coli AHI-1.	Terakado, N. O. B. U. Y. U. K. I., Sekizaki, T., Hashimoto, K., Yamagata, S., & Yamamoto, T. (1981). Chloramphenicol transposons found in Salmonella naestved and Escherichia coli of domestic animal origin. Antimicrobial Agents and Chemotherapy, 20(3), 382-386. PMCID: PMC181705
Tn3352	NA	Tn3352 is a chloramphenicol resistant transposon which is very identical to Tn3351. It was also identified in the R plasmids of Salmonella naestved AHI-21 and Escherichia coli AHI-1.	Terakado, N. O. B. U. Y. U. K. I., Sekizaki, T., Hashimoto, K., Yamagata, S., & Yamamoto, T. (1981). Chloramphenicol transposons found in Salmonella naestved and Escherichia coli of domestic animal origin. Antimicrobial agents and chemotherapy, 20(3), 382-386. PMCID: PMC181705
Tn3401	NA	Tn3401 is a transposon, conferring mercury resistance in Pseudomonas fluorescens.	Radford AJ, et al. (1981). Translocatable resistance to mercuric and phenylmercuric ions in soil bacteria. Journal of Bacteriology, 147(3), 1110–1112. PMID: 6268601
Tn3402	NA	Tn3402 is a transposon conferring mercury resistance in Citrobacter sp., which is identical to Tn3403.	Radford AJ, et al. (1981). Translocatable resistance to mercuric and phenylmercuric ions in soil bacteria. Journal of Bacteriology, 147(3), 1110–1112. PMID: 6268601
Tn3403	NA	Tn3403 is a transposon conferring mercury resistance in Klebsiella sp., which is identical to Tn3402.	Radford AJ, et al. (1981). Translocatable resistance to mercuric and phenylmercuric ions in soil bacteria. Journal of Bacteriology, 147(3), 1110–1112. PMID: 6268601
Tn3411	M19532|M22041	Tn3411 is a 7.4-kb composite transposon, found on a plasmid pOH3001 from Escherichia coli. It carries a citrate utilisation genes (citA and citB), which is flanked by direct repeats of IS3411.	Ishiguro, N., & Sato, G. (1988). Nucleotide sequence of insertion sequence IS3411, which flanks the citrate utilization determinant of transposon Tn3411. Journal of Bacteriology, 170(4), 1902–1906. DOI: 10.1128/jb.170.4.1902-1906.1988 Ishiguro, N., & Sato, G. (1985). Nucleotide sequence of the gene determining plasmid-mediated citrate utilization. Journal of Bacteriology, 164(3), 977–982. PMID: 2999087 Ishiguro, N., & Sato, G. (1984). Spontaneous deletion of citrate-utilizing ability promoted by insertion sequences. Journal of Bacteriology, 160(2), 642–650. PMID: 6094480
Tn3434	AY232820	Tn3434 is a 3.7-kb transposon, which is a member of Tn3 family. It is isolated from Paracoccus pantotrophus DSM 11072 by using a shuttle entrapment vector pMEC1. It contains two ORFs, encoding transposase and resolvase.	Bartosik, D., Sochacka, M., & Baj, J. (2003). Identification and Characterization of Transposable Elements of Paracoccus pantotrophus. Journal of Bacteriology, 185(13), 3753–3763. DOI: 10.1128/JB.185.13.3753-3763.2003
Tn3611	NA	Tn3611 is a 9-kb Tn3-like transposon, containing mer operon, tnpA and tnpR genes. It was found from the chromosome of Pseudomonas aeruginosa BS205.	Erova, T. E., et al. (1988). Characteristics of Tn3611 and Tn3613 transposons discovered in the chromosome of the BS205 strain of Pseudomonas aeruginosa. Genetika 24(5): 781-790. PMID: 2843420
Tn3613	NA	Tn3613 is a 24-kb transposon, containing Tn3611 (flanked by inverted repeats 2.2 kb in size) and DHPS-II, aad genes, which was identified from the chromosome of Pseudomonas aeruginosa BS205.	Erova, T. E., et al. (1988). Characteristics of Tn3611 and Tn3613 transposons discovered in the chromosome of the BS205 strain of Pseudomonas aeruginosa. Genetika 24(5): 781-790. PMID: 2843420
Tn3614	NA	Tn3614 is a 7.2 kb transposon, containing the right-hand and left-hand sequences of Tn4654.	Mae, A. A. and A. L. Heinaru (1994). Transposon-mediated mobilization of chromosomally located catabolic operons of the CAM plasmid by TOL plasmid transposon Tn4652 and CAM plasmid transposon Tn3614. Microbiology 140 ( Pt 4): 915-921. DOI: 10.1099/00221287-140-4-915
Tn3651	NA	Tn3651 is a Tn3-like transposon located on plasmid pWP14a, conferring ampicillin resistance.	Brau, B. and W. Piepersberg (1983). Cointegrational transduction and mobilization of gentamicin resistance plasmid pWP14a is mediated by IS140. Mol Gen Genet 189(2): 298-303. DOI: 10.1007/BF00337820
Tn3701	NA	Tn3701 is a 50 kb conjugative transposon, originally detected in the chromosome of Streptococcus pyogenes A454. It encodes resistance to erythromycin, tetracycline, and minocycline. It carries another 19.7 kb transposon designated as Tn3703.	Le Bouguénec, C., De Cespedes, G., & Horaud, T. (1988). Molecular analysis of a composite chromosomal conjugative element (Tn3701) of Streptococcus pyogenes. Journal of Bacteriology, 170(9), 3930-3936. PMCID: PMC211392
Tn3702	NA	Tn3702 is a 18.5 kb conjugative transposon similar to Tn916. It encodes resistance to tetracycline and minocycline. It was originally detected in Enterococcus faecalis strain D434.	Horaud, T., Delbos, F., & de Cespédès, G. (1990). Tn3702, a conjugative transposon in Enterococcus faecalis. FEMS Microbiology Letters, 72(1-2), 189-194.DOI: https://doi.org/10.1016/0378-1097(90)90370-6
Tn3703	NA	Tn3703 is a 19.7 kb transposon located within another 50 kb conjugative transposon, Tn3701. The resistance determinants for erythromycin, tetracycline and minocycline are located within Tn3703. The structure of Tn3703 is very similar to Tn916.	Le Bouguénec, C., De Cespedes, G., & Horaud, T. (1988). Molecular analysis of a composite chromosomal conjugative element (Tn3701) of Streptococcus pyogenes. Journal of Bacteriology, 170(9), 3930-3936. PMCID: PMC211392
Tn3704	NA	Tn3704 is a 20.3 kb transposon located within another conjugative transposon, Tn3705 and was originally detected in the chromosome of Streptococcus anginosus F22. It encodes resistance to erythromycin, tetracycline and minocycline. The structure of Tn3704 is similar to Tn916.	Clermont, D., & Horaud, T. (1994). Genetic and molecular studies of a composite chromosomal element (Tn3705) containing a Tn916-modified structure (Tn3704) in Streptococcus anginosus F22. Plasmid, 31(1), 40-48. DOI: https://doi.org/10.1006/plas.1994.1005
Tn3705	NA	Tn3705 is a conjugative transposon with an approximate size of 52.0 kb. It encodes resistance to erythromycin, tetracycline and minocycline. The resistant determinants are located within another transposon designated as Tn3704 (approximately 20.3 kb).	Clermont, D., & Horaud, T. (1994). Genetic and molecular studies of a composite chromosomal element (Tn3705) containing a Tn916-modified structure (Tn3704) in Streptococcus anginosus F22. Plasmid, 31(1), 40-48. DOI: 10.1006/plas.1994.1005
Tn3706	NA	Tn3706 is a chromosomal getamicin-kanamycin resistance transposon originally detected in Streptococcus agalactiae B128.	Horaud, T., de Céspèdes, G. I. L. D. A., & Trieu-Cuot, P. (1996). Chromosomal gentamicin resistance transposon Tn3706 in Streptococcus agalactiae B128. Antimicrobial Agents and Chemotherapy, 40(5), 1085-1090. Link: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC163270/pdf/401085.pdf
Tn3707	NA	Tn3707 is a tetracycline-minocycline resistance transposon carried by a Tn916-like element.	Horaud, T., de Céspèdes, G. I. L. D. A., & Trieu-Cuot, P. (1996). Chromosomal gentamicin resistance transposon Tn3706 in Streptococcus agalactiae B128. Antimicrobial agents and chemotherapy, 40(5), 1085-1090. Link: http://aac.asm.org/content/40/5/1085.full.pdf+html
Tn3851	NA	Tn3851 is a 5.2 kb transposon encoding resistance to gentamicin, tobramycin and kanamycin.	Townsend, D. E., Ashdown, N., Greed, L. C., & Grubb, W. B. (1984). Transposition of gentamicin resistance to staphylococcal plasmids encoding resistance to cationic agents. Journal of Antimicrobial Chemotherapy, 14(2), 115-124. DOI: https://doi.org/10.1093/jac/14.2.115
Tn3853	NA	Tn3853 is a transposon very identical to Tn554. It encodes resistance to erythromycin, lincomycin and spectinomycin. It was originally detected in the plasmid pWG4 of Staphylococcus aureus and pWG25 of S. epidermidis.	Townsend, D. E., Bolton, S., Ashdown, N., Annear, D. I., & Grubb, W. B. (1986). Conjugative, Staphylococcal plasmids carrying hitch-hiking transposons similar to Tn554: Intra- and iterspecies dissemination of erythromycin resistance. Australian Journal of Experimental Biology & Medical Science, 64(4): 381-387. DOI:10.1038/icb.1986.40
Tn3854	NA	Tn3854 is a 4.5 kb transposon that encodes resistance to kanamycin, neomycin and streptomycin and was originally detected on plasmid pWBG628.	Udo, E. E., & Grubb, W. B. (1991). Transposition of genes encoding kanamycin, neomycin and streptomycin resistance in Staphylococcus aureus. Journal of Antimicrobial Chemotherapy, 27(6), 713-720. DOI; https://doi.org/10.1093/jac/27.6.713
Tn3871	NA	Tn3871 is a 5.1 kb transposon related to Tn917 which encodes resistance to erythromycin.	Banai, M. E. N. A. C. H. E. M., & LeBlanc, D. J. (1984). Streptococcus faecalis R plasmid pJH1 contains an erythromycin resistance transposon (Tn3871) similar to transposon Tn917. Journal of Bacteriology, 158(3), 1172-1174. Link: http://jb.asm.org/content/158/3/1172.short
Tn3872	NA	Tn3872 is a composite transposon which was originally detected in Streptococcus pneumoniae and was generated by insertion of Tn917 into Tn916 orf9. It encodes resistance to tetracycline and erythromycin.	Poyart, C., Quesne, G., Acar, P., Berche, P., & Trieu-Cuot, P. (2000). Characterization of the Tn916-like transposon Tn3872 in a strain of Abiotrophia defectiva (Streptococcus defectivus) causing sequential episodes of endocarditis in a child. Antimicrobial agents and chemotherapy,44(3), 790-793. DOI: 10.1128/AAC.44.3.790-793.2000
Tn3926	X78059	Tn3926 is a 7.8-kb Tn21-like transposon, found in Yersinia enterocolitica YE138A14. It contains tnpA, tnpR and mercury resistance operon.	Osbourn, S. E., et al. (1995). Nucleotide sequence within Tn3926 confirms this as a Tn21-like transposable element and provides evidence for the origin of the mer operon carried by plasmid pKLH2. Plasmid 33(1): 65-69. DOI: 10.1006/plas.1995.1008 Lett, M. C., et al. (1985). Characterization of Tn3926, a new mercury-resistance transposon from Yersinia enterocolitica. Gene 40(1): 79-91. DOI: 10.1016/0378-1119(85)90026-5
Tn3951	NA	Tn3951 is a 65-kb chromosomal conjugative elements, isolated from Streptococcus pneumoniae. It carries multiple resistance genes, conferring resistance to chloramphenicol, erythromycin and tetracycline.	Le Bouguénec, C., de Cespédès, G., & Horaud, T. (1990). Presence of chromosomal elements resembling the composite structure Tn3701 in streptococci. Journal of Bacteriology, 172(2), 727–734. DOI: 10.1128/jb.172.2.727-734.1990 Vijayakumar MN, et al. (1986). Structure of a conjugative element in Streptococcus pneumoniae. Journal of Bacteriology, 166(3), 978–984. DOI: 10.1128/jb.166.3.978-984.1986
Tn4000	X12618	Tn4000 is a Tn21-related element, containing mer, sul, aadA, and aadB genes.	Schmidt, F. R., et al. (1988). "Nucleotide sequence analysis of 2''-aminoglycoside nucleotidyl-transferase ANT(2'') from Tn4000: its relationship with AAD(3'') and impact on Tn21 evolution." Mol Microbiol 2(6): 709-717. DOI: 10.1111/j.1365-2958.1988.tb00081.x
Tn4001	GU565967.1	Tn4001 is a 4.7 kb composite transposon that mediates resistance to gentamicin, tobramycin and kanamycin. It was detected on different structurally-related plasmids of Staphylococcus aureus.	Gillespie, M. T., Lyon, B. R., Messerotti, L. J., & Skurray, R. A. (1987). Chromosome-and plasmid-mediated gentamicin resistance in Staphylococcus aureus encoded by Tn4001. Journal of Medical Microbiology, 24(2), 139-144.DOI: 10.1099/00222615-24-2-139 Mahairas, G. G., Lyon, B. R., Skurray, R. A., & Pattee, P. A. (1989). Genetic analysis of Staphylococcus aureus with Tn4001. Journal of Bacteriology,171(7), 3968-3972. DOI: 10.1128/jb.171.7.3968-3972.1989
Tn4002	NA	Tn4002 is a 6.7 kb transposon encoding resistance to penicillin via beta-lactamase, blaZ in multiresistant Staphylococcus aureus.	Gillespie, M. T., & Skurray, R. A. (1989). Nucleotide sequence of the blaZ gene of the Staphylococcus aureus β-lactamase transposon Tn4002. Nucleic Acids Research, 17(21), 8854-8854. PMCID: PMC335048
Tn4003	GU565967.1	Tn4003 is a 4.7 kb composite transposon encoding resistance to trimethoprim via a dfrA gene. It was detected in plasmid pSK1 of Staphylococcus aureus.	Rouch, D. A., Messerotti, L. J., Loo, L. S. L., Jackson, C. A., & Skurray, R. A. (1989). Trimethoprim resistance transposon Tn4003 from Staphylococcus aureus encodes genes for a dihydrofolate reductase and thymidylate synthetase flanked by three copies of IS257. Molecular Microbiology, 3(2), 161-175. DOI: 10.1111/j.1365-2958.1989.tb01805.x
Tn4031	NA	Tn4031 is a 5.0 kb composite transposon related to Tn4001. It encodes resistance to gentamicin. It was detected in plasmid pGO221 of S. epidermidis.	Thomas, W. D., & Archer, G. L. (1989). Mobility of gentamicin resistance genes from staphylococci isolated in the United States: identification of Tn4031, a gentamicin resistance transposon from Staphylococcus epidermidis. Antimicrobial Agents and Chemotherapy, 33(8), 1335-1341.PMCID: PMC172650
Tn4132	NA	Tn4132 is a transposon related to Tn7 with an approxomate size of 16.0 kb. It encodes resistance to trimethoprim via a dhfrIb gene.	Young, H. K., Qumsieh, M. J., & Mclntosh, M. L. (1994). Nucleotide sequence and genetic analysis of the type Ib trimethoprim-resistant, Tn 4132-encoded dihydrofolate reductase. Journal of Antimicrobial Chemotherapy, 34(5), 715-725. DOI: https://doi.org/10.1093/jac/34.5.715
Tn4176	NA	Tn4176 is a composite transposon similar to Tn1213. It carries a blaPER-1 gene which confers resistance to ceftazidime. It is located within another 14 kb transposon called Tn5393d.	Mantengoli, E., & Rossolini, G. M. (2005). Tn5393d, a complex Tn5393 derivative carrying the PER-1 extended-spectrum β-lactamase gene and other resistance determinants. Antimicrobial Agents and Chemotherapy,49(8), 3289-3296. DOI: doi: 10.1128/AAC.49.8.3289-3296.2005
Tn4201	NA	Tn4201 is a 6.7-kb transposon found on the conjugative plasmid pCRG1600 in Staphylococcus aureus. It contains blaZ gene, conferring penicillin resistance.	Weber, D. A., & Goering, R. V. (1988). Tn4201, a beta-lactamase transposon in Staphylococcus aureus. Antimicrobial Agents and Chemotherapy, 32(8), 1164–1169. DOI: 10.1128/AAC.32.8.1164
Tn4291	NA	Tn4291 is found on the plasmid pI524 from Staphylococcus aureus. It carries genes confer resistance to methicillin.	Trees, D. L., & Iandolo, J. J. (1988). Identification of a Staphylococcus aureus transposon (Tn4291) that carries the methicillin resistance gene(s). Journal of Bacteriology, 170(1), 149–154. DOI: 10.1128/jb.170.1.149-154.1988
Tn4321	U60777|U67194	Tn4321 is a composite transposon found on plasmid R751. It carries orf1 and orf2 genes, flanked by inverted repeats of IS4321.	Thorsted, P. B., et al. (1998).Complete sequence of the IncPbeta plasmid R751: implications for evolution and organisation of the IncP backbone. J Mol Biol 282(5): 969-990. DOI: 10.1006/jmbi.1998.2060
Tn4351	M17124|M37699	Tn4351 is a composite transposon found in plasmid pBF4 from Bacteroides fragilis. It contains tetracycline resistance gene (expressed in Bacteroides but in not E. coli) and erythromycin resistance genes (expressed in aerobically grown E. coli but not Bacteroides), flanked by IS4351 elements.	Hoover, C. I., et al. (1992). Transposition of Tn4351 in Porphyromonas gingivalis. Plasmid 27(3): 246-250. DOI: 10.1016/0147-619X(92)90028-9
Tn4352	M20306	Tn4352 is a 2.68-kb composite transposon, found on the plasmid NTP16 from Salmonella typhimurium. It contains gene, encoding aminoglycoside 3’-phosphotransferase (APH) protein, which is flanked by direct repeats of IS176 (identical to IS26).	Wrighton, C. J. and P. Strike (1987). A pathway for the evolution of the plasmid NTP16 involving the novel kanamycin resistance transposon Tn4352. Plasmid 17(1): 37-45. DOI: 10.1016/0147-619X(87)90006-0
Tn4371	Y10831|Y10832	Tn4371 is a 55-kb transposon, isolated from Ralstonia eutropha A5. It contains bph catabolic gene cluster, a Pseudomonas-like catabolic genes, which involves in biphenyl degradation.	Merlin, C., et al. (1999). Tn4371: A modular structure encoding a phage-like integrase, a Pseudomonas-like catabolic pathway, and RP4/Ti-like transfer functions. Plasmid 41(1): 40-54. DOI: 10.1006/plas.1998.1375
Tn4378	X90708	Tn4378 is found on plasmid pMOL28 from Ralstonia metallidurans CH34. It contains mercury resistance operon (merRTPADE), tnpA and tnpR genes.	Champier, L., et al. (2004). Characterization of the MerD protein from Ralstoniametallidurans CH34: a possible role in bacterial mercury resistance by switching off the induction of themer operon. Mol Microbiol 52(5): 1475-1485. DOI: 10.1111/j.1365-2958.2004.04071.x
Tn4380	X71400	Tn4380 is found on plasmid pMOL30 from Ralstonia metallidurans CH34. It contains mercury resistance operon (merRTPADE), tnpA and tnpR genes.	Champier, L., et al. (2004). Characterization of the MerD protein from Ralstoniametallidurans CH34: a possible role in bacterial mercury resistance by switching off the induction of themer operon. Mol Microbiol 52(5): 1475-1485. DOI: 10.1111/j.1365-2958.2004.04071.x
